,product,,issue,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Student loan,,Repaying your loan,,,,,,,,,,
,Debt collection,,False statements or representation,,,,,,,,,,
,Credit card,,Application processing delay,,,,,,,,,,
,Credit card,,Credit line increase/decrease,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Mortgage,,Credit decision / Underwriting,,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Credit card,,Late fee,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Debt collection,,Improper contact or sharing of info,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit card,,Billing disputes,,,,,,,,,,
,Debt collection,,Improper contact or sharing of info,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Bank account or service,,"Making/receiving payments, sending money",,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Credit card,,Rewards,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Debt collection,,False statements or representation,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Consumer Loan,,Managing the loan or lease,,,,,,,,,,
,Mortgage,,Settlement process and costs,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Debt collection,,Taking/threatening an illegal action,,,,,,,,,,
,Debt collection,,Disclosure verification of debt,,,,,,,,,,
,Credit card,,Identity theft / Fraud / Embezzlement,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit card,,Customer service / Customer relations,,,,,,,,,,
,Credit card,,Forbearance / Workout plans,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Credit card,,Closing/Cancelling account,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Credit reporting,,Improper use of my credit report,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Mortgage,,Credit decision / Underwriting,,,,,,,,,,
,Debt collection,,Disclosure verification of debt,,,,,,,,,,
,Credit reporting,,Credit reporting company's investigation,,,,,,,,,,
,Credit card,,Billing disputes,,,,,,,,,,
,Credit card,,Rewards,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,Settlement process and costs,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Mortgage,,Credit decision / Underwriting,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit card,,APR or interest rate,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Student loan,,Problems when you are unable to pay,,,,,,,,,,
,Credit reporting,,Credit monitoring or identity protection,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Student loan,,Problems when you are unable to pay,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Credit card,,Balance transfer,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Student loan,,Repaying your loan,,,,,,,,,,
,Credit reporting,,Credit reporting company's investigation,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Credit reporting,,Unable to get credit report/credit score,,,,,,,,,,
,Debt collection,,Improper contact or sharing of info,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Money transfers,,Wrong amount charged or received,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit card,,Rewards,,,,,,,,,,
,Debt collection,,False statements or representation,,,,,,,,,,
,Mortgage,,Credit decision / Underwriting,,,,,,,,,,
,Debt collection,,Disclosure verification of debt,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Consumer Loan,,Managing the loan or lease,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Credit card,,Customer service / Customer relations,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Credit card,,Credit line increase/decrease,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Mortgage,,Settlement process and costs,,,,,,,,,,
,Credit reporting,,Credit reporting company's investigation,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit card,,Credit line increase/decrease,,,,,,,,,,
,Credit card,,Late fee,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit reporting,,Credit reporting company's investigation,,,,,,,,,,
,Credit card,,Identity theft / Fraud / Embezzlement,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Consumer Loan,,Managing the loan or lease,,,,,,,,,,
,Credit card,,Closing/Cancelling account,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Credit card,,Billing disputes,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Bank account or service,,"Making/receiving payments, sending money",,,,,,,,,,
,Consumer Loan,,Account terms and changes,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Credit card,,Billing statement,,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Debt collection,,False statements or representation,,,,,,,,,,
,Consumer Loan,,Managing the loan or lease,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Credit card,,Closing/Cancelling account,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Debt collection,,Taking/threatening an illegal action,,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Credit card,,Billing disputes,,,,,,,,,,
,Debt collection,,Disclosure verification of debt,,,,,,,,,,
,Credit reporting,,Credit reporting company's investigation,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit card,,Billing disputes,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit card,,Billing disputes,,,,,,,,,,
,Bank account or service,,"Making/receiving payments, sending money",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Money transfers,,Fraud or scam,,,,,,,,,,
,Credit card,,Credit card protection / Debt protection,,,,,,,,,,
,Debt collection,,Taking/threatening an illegal action,,,,,,,,,,
,Debt collection,,Taking/threatening an illegal action,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit reporting,,Unable to get credit report/credit score,,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Credit card,,Credit line increase/decrease,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit card,,Closing/Cancelling account,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit card,,Billing disputes,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Credit card,,Credit determination,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Consumer Loan,,Taking out the loan or lease,,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Credit card,,Other,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Credit card,,Other,,,,,,,,,,
,Credit card,,Other,,,,,,,,,,
,Consumer Loan,,Account terms and changes,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Credit card,,Closing/Cancelling account,,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Mortgage,,Other,,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Student loan,,Problems when you are unable to pay,,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Debt collection,,Improper contact or sharing of info,,,,,,,,,,
,Debt collection,,Disclosure verification of debt,,,,,,,,,,
,Credit reporting,,Unable to get credit report/credit score,,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Debt collection,,Improper contact or sharing of info,,,,,,,,,,
,Debt collection,,Improper contact or sharing of info,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Student loan,,Repaying your loan,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Debt collection,,Taking/threatening an illegal action,,,,,,,,,,
,Credit card,,Other,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Credit reporting,,Unable to get credit report/credit score,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Mortgage,,"Application, originator, mortgage broker",,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Debt collection,,Disclosure verification of debt,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
,Credit card,,Billing disputes,,,,,,,,,,
,Debt collection,,False statements or representation,,,,,,,,,,
,Credit card,,Credit card protection / Debt protection,,,,,,,,,,
,Bank account or service,,"Making/receiving payments, sending money",,,,,,,,,,
,Credit card,,Closing/Cancelling account,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Student loan,,Repaying your loan,,,,,,,,,,
,Debt collection,,False statements or representation,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Student loan,,Repaying your loan,,,,,,,,,,
,Debt collection,,Cont'd attempts collect debt not owed,,,,,,,,,,
,Mortgage,,"Loan servicing, payments, escrow account",,,,,,,,,,
,Bank account or service,,"Account opening, closing, or management",,,,,,,,,,
,Mortgage,,Settlement process and costs,,,,,,,,,,
,Credit reporting,,Improper use of my credit report,,,,,,,,,,
,Mortgage,,"Loan modification,collection,foreclosure",,,,,,,,,,
,Credit card,,APR or interest rate,,,,,,,,,,
,Credit reporting,,Incorrect information on credit report,,,,,,,,,,
,Bank account or service,,Deposits and withdrawals,,,,,,,,,,
,Debt collection,,Communication tactics,,,,,,,,,,
